chinese,pinyin,english
我,wǒ,I / me
你,nǐ,you
他,tā,he / him
她,tā,she / her
我們,wǒmen,we / us
你們,nǐmen,you (plural)
他們,tāmen,they / them
這,zhè,this
那,nà,that
這個,zhège,this one
那個,nàge,that one
這裡,zhèlǐ,here
那裡,nàlǐ,there
哪裡,nǎlǐ,where
什麼,shénme,what
誰,shéi,who
為什麼,wèishénme,why
怎麼,zěnme,how
怎麼樣,zěnmeyàng,how about it / how is it
多少,duōshǎo,how much / how many
幾,jǐ,how many / several
什麼時候,shénme shíhòu,when
是,shì,to be / is / are
不是,búshì,is not / no
有,yǒu,to have / there is
沒有,méiyǒu,to not have / there isn't
的,de,(possessive particle)
了,le,(completed-action particle)
嗎,ma,(yes/no question particle)
呢,ne,(question particle)
吧,ba,(suggestion particle)
和,hé,and / with
或者,huòzhě,or
但是,dànshì,but
可是,kěshì,but / however
因為,yīnwèi,because
所以,suǒyǐ,so / therefore
如果,rúguǒ,if
雖然,suīrán,although
而且,érqiě,moreover / and also
然後,ránhòu,then / afterwards
還是,háishì,or / still
也,yě,also / too
都,dōu,all / both
很,hěn,very
太,tài,too / excessively
真,zhēn,really / true
非常,fēicháng,extremely
比較,bǐjiào,relatively / comparatively
最,zuì,most
更,gèng,more / even more
只,zhǐ,only
再,zài,again
又,yòu,again / also
就,jiù,then / at once
才,cái,only then / just
還,hái,still / also
已經,yǐjīng,already
正在,zhèngzài,in the process of
剛才,gāngcái,just now
馬上,mǎshàng,immediately
一起,yìqǐ,together
一定,yídìng,definitely
可能,kěnéng,maybe / possible
也許,yěxǔ,perhaps
當然,dāngrán,of course
其實,qíshí,actually
好,hǎo,good / well
不好,bùhǎo,not good / bad
大,dà,big
小,xiǎo,small
多,duō,many / much
少,shǎo,few / little
高,gāo,tall / high
矮,ǎi,short (height)
長,cháng,long
短,duǎn,short (length)
新,xīn,new
舊,jiù,old (things)
老,lǎo,old (people) / experienced
快,kuài,fast / quick
慢,màn,slow
早,zǎo,early
晚,wǎn,late
遠,yuǎn,far
近,jìn,near
貴,guì,expensive
便宜,piányí,cheap
難,nán,difficult
容易,róngyì,easy
重要,zhòngyào,important
有名,yǒumíng,famous
漂亮,piàoliang,pretty / beautiful
好看,hǎokàn,good-looking
可愛,kě'ài,cute / lovable
聰明,cōngming,smart / clever
有趣,yǒuqù,interesting
無聊,wúliáo,boring
忙,máng,busy
累,lèi,tired
餓,è,hungry
渴,kě,thirsty
高興,gāoxìng,happy / glad
快樂,kuàilè,happy
開心,kāixīn,happy / delighted
難過,nánguò,sad
生氣,shēngqì,angry
緊張,jǐnzhāng,nervous / tense
害怕,hàipà,afraid
喜歡,xǐhuan,to like
愛,ài,to love
討厭,tǎoyàn,to dislike / annoying
希望,xīwàng,to hope
覺得,juéde,to feel / to think
認為,rènwéi,to think / to believe
知道,zhīdào,to know
明白,míngbái,to understand
了解,liǎojiě,to understand / to be familiar with
懂,dǒng,to understand
記得,jìde,to remember
忘記,wàngjì,to forget
想,xiǎng,to want / to think / to miss
要,yào,to want / will / to need
需要,xūyào,to need
應該,yīnggāi,should / ought to
可以,kěyǐ,can / may
能,néng,can / be able to
會,huì,can / will / know how to
願意,yuànyì,to be willing
敢,gǎn,to dare
在,zài,to be at / in
來,lái,to come
去,qù,to go
回,huí,to return
回來,huílái,to come back
回去,huíqù,to go back
出去,chūqù,to go out
進來,jìnlái,to come in
到,dào,to arrive / to reach
走,zǒu,to walk / to leave
跑,pǎo,to run
站,zhàn,to stand
坐,zuò,to sit
躺,tǎng,to lie down
睡覺,shuìjiào,to sleep
起床,qǐchuáng,to get up
休息,xiūxí,to rest
工作,gōngzuò,to work / job
上班,shàngbān,to go to work
下班,xiàbān,to get off work
學習,xuéxí,to study / to learn
讀書,dúshū,to study / to read
唸書,niànshū,to study
教,jiāo,to teach
看,kàn,to look / to read / to watch
聽,tīng,to listen
